cLabel,cDesc,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
GO:0043383,"negative T cell selection",9,"GLI3, ATG5, CD3E, THEMIS, PTPRC, CD74, CCR7, AIRE, ZAP70",0.241862656641841,1.41748435211753e-09,1.10634653682773e-05,0,0
GO:0045060,"negative thymic T cell selection",8,"ATG5, PTPRC, ZAP70, GLI3, CCR7, CD74, CD3E, AIRE",0.282548224395317,4.69659955371071e-09,1.83284797583561e-05,0,0
GO:0015884,"folic acid transport",8,"SLC19A1, LRP2, SLC25A32, FOLR1, SLC46A1, SLC19A2, PDPN, FOLR2",0.203620259297424,7.20438098067433e-09,1.87433978513877e-05,0,0
GO:0002820,"negative regulation of adaptive immune response",32,"RC3H2, SUSD4, JAK3, TRIM27, IL27RA, CR2, CLEC4G, IL7R, PARP3, IL4I1, TNFSF4, PPP3CB, SMAD7, CD55, IL33, KLRC1, PTPRC, CD46, BCL6, DUSP22, C4BPB, ZBTB7B, TNFRSF14, IL4R, LILRB4, LOXL3, THOC1, HAVCR2, CEACAM1, RC3H1, AHR, NDFIP1",0.127454464603275,1.46442629134214e-08,2.66171807441484e-05,0,0
GO:0002823,"negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",30,"CR2, IL4R, CD46, RC3H2, CLEC4G, JAK3, TNFSF4, C4BPB, ZBTB7B, IL27RA, DUSP22, CD55, IL33, CEACAM1, PARP3, PTPRC, AHR, THOC1, SUSD4, HAVCR2, IL7R, KLRC1, RC3H1, NDFIP1, IL4I1, PPP3CB, SMAD7, LOXL3, BCL6, LILRB4",0.133645168721501,1.70513649866422e-08,2.66171807441484e-05,0,0
GO:0009133,"nucleoside diphosphate biosynthetic process",12,"AK2, UMPS, GUK1, CMPK1, CAD, CMPK2, DHODH, DTYMK, AK4, AK1, AK3, AK5",0.15686883914197,2.80453932299807e-08,3.40787951313981e-05,0,0
GO:1904447,"folic acid import into cell",5,"SLC19A1, FOLR1, SLC46A1, FOLR2, LRP2",0.336662548349808,3.05639418218817e-08,3.40787951313981e-05,0,0
GO:0002710,"negative regulation of T cell mediated immunity",11,"PTPRC, IL4I1, CLEC4G, AHR, LILRB4, SMAD7, KLRC1, CEACAM1, DUSP22, PPP3CB, IL7R",0.167656613993286,1.38425546913901e-07,9.96560636118798e-05,0,0
GO:0009188,"ribonucleoside diphosphate biosynthetic process",9,"AK5, CAD, AK2, AK1, DHODH, AK3, CMPK1, UMPS, AK4",0.159520248152515,1.8964934200838e-07,9.96560636118798e-05,0,0
GO:0043302,"positive regulation of leukocyte degranulation",19,"F2RL1, FGR, ADORA2B, IL4R, PTAFR, ITGB2, VAMP7, KLRC2, LAMP1, GAB2, NPPA, STXBP1, SYK, VAMP8, SNX4, ITGAM, SPHK2, STX4, AP1G1",0.181900212976364,1.90727887483533e-07,9.96560636118798e-05,0,0
GO:0002707,"negative regulation of lymphocyte mediated immunity",26,"NDFIP1, THOC1, CLEC4G, KLRC1, PPP3CB, DUSP22, AHR, SUSD4, PARP3, CD55, CEACAM1, ARRB2, SMAD7, IL7R, IL4I1, CRK, LILRB4, MICA, PTPRC, GFER, CD46, BCL6, SERPINB9, CR2, C4BPB, HAVCR2",0.112808252994664,2.01646871866856e-07,9.96560636118798e-05,0,0
GO:0002826,"negative regulation of T-helper 1 type immune response",5,"IL33, HAVCR2, JAK3, TNFSF4, IL4R",0.279837489561895,2.04783177970569e-07,9.96560636118798e-05,0,0
GO:0046639,"negative regulation of alpha-beta T cell differentiation",15,"RC3H1, SOCS5, ZBTB7B, BCL6, SMAD7, IL4R, TNFSF4, HMGB1, SOCS1, CBFB, ANXA1, GLI3, LOXL3, RC3H2, JAK3",0.142780498680931,2.26535190273047e-07,9.96560636118798e-05,0,0
GO:0019748,"secondary metabolic process",54,"MFSD12, SLC7A11, CYP1B1, TYRP1, AKR1B1, STAR, CYP3A5, PGAM1, ATP7A, GGT1, TIGAR, N6AMT1, AKR7A3, NFE2L2, FMO2, OCA2, CYP2A13, DDT, AKR7L, ASIP, BCL2, MGST1, ARL1, SULT1C4, BDH2, ACY3, TH, CTNS, MC1R, APPL1, ZEB2, AKR1C4, PAM, GIPC1, CDH3, SLC24A5, DDC, RAPGEF2, CITED1, MGST3, AKR7A2, CYP2W1, OPN3, TRPC1, PON3, DCT, AKR1C1, AKR1C3, CYP1A2, AKR1A1, CBR4, PMEL, WNT5A, MGST2",0.116293747781118,2.27335283820018e-07,9.96560636118798e-05,0,0
GO:0007220,"Notch receptor processing",10,"GALNT11, PSEN2, DNER, ADAM17, PSENEN, NCSTN, ADAM10, APH1B, PSEN1, APH1A",0.193006792611299,2.47312986645376e-07,9.96560636118798e-05,0,0
GO:0009404,"toxin metabolic process",21,"MGST3, STAR, PAM, MGST1, AKR7A3, CYP3A5, ARL1, FMO2, CYP2W1, NFE2L2, MGST2, AKR7A2, N6AMT1, CYP1A2, DDC, TH, CYP1B1, GGT1, ACY3, AKR7L, CYP2A13",0.190938545523207,2.8492861925411e-07,9.96560636118798e-05,0,0
GO:0006172,"ADP biosynthetic process",5,"AK2, AK5, AK1, AK3, AK4",0.179607140539244,3.12289175852243e-07,9.96560636118798e-05,0,0
GO:0009180,"purine ribonucleoside diphosphate biosynthetic process",5,"AK3, AK5, AK4, AK2, AK1",0.179607140539244,3.12289175852243e-07,9.96560636118798e-05,0,0
GO:0007512,"adult heart development",10,"BMP10, MEF2D, TCAP, CHD7, MYH7, GJA1, ADRA1A, HAND2, APLNR, MNAT1",0.186777646384961,3.15767743508388e-07,9.96560636118798e-05,0,0
GO:0021536,"diencephalon development",61,"OTX1, PTCHD1, RAB3GAP1, FGF8, SALL1, NCOA1, UQCRQ, GHRHR, SEMA5A, GSX1, HAP1, ADCYAP1, RBPJ, KCNC1, FOXB1, SOX2, TBX19, WNT5A, ISL1, HES1, ETS1, CHRNB2, FGF2, BMPR1A, NR0B1, INHBB, BLOC1S6, NR4A2, CRH, BAX, POU3F2, OGDH, CNTNAP2, PTN, NDNF, MSX1, ARX, SOX3, LHX3, TAL2, BMP2, WNT4, CREB1, SIX3, PAX6, PROP1, PCSK1, LRP6, NRP1, GLI1, UBB, SRD5A1, OLIG2, KCNC2, SEMA3A, DRD2, SMO, CDH1, MYC, SLC6A3, NRP2",0.118085574903597,3.16817296619476e-07,9.96560636118798e-05,0,0
GO:0044532,"modulation of apoptotic process in other organism",10,"SERPINB9, BAD, SFPQ, CASP8, RNF213, BCL2L11, MAPK3, MAPK1, BCL2L1, TRIM27",0.134553804809131,3.2396774085619e-07,9.96560636118798e-05,0,0
GO:0052150,"modulation by symbiont of host apoptotic process",10,"BAD, BCL2L11, CASP8, BCL2L1, MAPK1, TRIM27, SERPINB9, RNF213, SFPQ, MAPK3",0.134553804809131,3.2396774085619e-07,9.96560636118798e-05,0,0
GO:0052433,"modulation by organism of apoptotic process in other organism involved in symbiotic interaction",10,"BCL2L11, MAPK1, CASP8, TRIM27, RNF213, BAD, BCL2L1, SFPQ, MAPK3, SERPINB9",0.134553804809131,3.2396774085619e-07,9.96560636118798e-05,0,0
GO:0033292,"T-tubule organization",6,"ATP2A2, SYPL2, BIN1, DYSF, ANK2, MYOF",0.219141199626406,3.52315889906585e-07,9.96560636118798e-05,0,0
GO:0002704,"negative regulation of leukocyte mediated immunity",35,"HMOX1, DUSP22, PTPRC, CRK, LILRB4, CD84, KLRC1, RABGEF1, CEACAM1, PPP3CB, CD46, GFER, C4BPB, CLEC4G, IL7R, IL13RA2, THOC1, SMAD7, CR2, IL4I1, MICA, ARRB2, FOXF1, SPI1, JAK3, HAVCR2, BST2, CD55, SUSD4, AHR, NDFIP1, BCL6, BCR, PARP3, SERPINB9",0.123790729091997,3.57731231526159e-07,9.96560636118798e-05,0,0
