cLabel,cDesc,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
infant_HIP,"infant - hippocampus (hippocampal formation)",22,"ALDH9A1, ANP32B, BGN, CARTPT, CLDN11, CPNE2, DCLK2, DDR1, EPN2, G6PC3, GNG11, ID1, ID4, NRIP3, RHOC, SLC24A3, SOX10, TTR, VAMP5, WASL, WDR13, ZBTB47",0.169382624330203,1.38558309003001e-05,0.00110846647202401,0,0
adult_AMY,"adult - amygdaloid complex",40,"ANLN, ARPP21, ATP2B4, BAIAP3, C2orf80, CASC3, CD74, CFL2, CLDN11, COX7A2L, CPNE6, CPOX, DTNA, EVI2A, GATM, GDAP1, HAX1, IGIP, IL17D, IPO13, ISCU, KCNIP2, KIAA0930, LHPP, MAOB, MAT2A, MXRA7, NDUFB1, NECAB1, NTSR2, PAIP2B, RNF181, SRSF5, SYNDIG1L, TAC1, TOMM34, TTYH2, UGT8, VAMP3, WNK1",0.126265474524316,3.72570550590812e-05,0.00149028220236325,0,0
child_AMY,"child - amygdaloid complex",26,"ALDH9A1, ANP32B, ATP6V0E1, BCL2L1, BOK, CLDN11, EVI2A, ID1, IFIT1, IL17D, LHPP, MRPL24, NDUFB1, NDUFB4, NTSR2, OLIG2, PAIP2B, PSME1, RHOC, SOX10, SPCS1, SURF1, THOC7, TRMT112, TTR, VAMP3",0.152555225217323,0.000257581365098236,0.00643039928788003,0,0
adolescent_HIP,"adolescent - hippocampus (hippocampal formation)",40,"AQP1, ARHGEF4, BAIAP3, BGN, BOK, CABP7, CARTPT, CHPF, CLDN11, CPNE2, CPNE6, CYB5R3, DCLK2, DDR1, DLGAP3, DUSP8, DVL1, EPN2, G6PC3, GPT2, HAPLN2, ICAM5, KCNIP2, KIAA0930, LHPP, NRIP3, NTSR2, PAQR4, PHGDH, PRRT1, SDC4, SLC24A3, SOX10, TMCC2, TOMM34, TTR, TTYH2, UGT8, WDR13, ZBTB47",0.105341017237706,0.000321519964394001,0.00643039928788003,0.001,0.0133333333333333
child_HIP,"child - hippocampus (hippocampal formation)",79,"AKIRIN1, ALDH9A1, ANAPC13, ANLN, ANP32B, AQP1, ARPC2, ASAH1, ATP6V0E1, CAPZA2, CARTPT, CCNY, CDC42SE2, CFL2, CLDN11, COX7A2L, CPOX, DCTN6, DEGS1, EFR3A, EVI2A, FAM162A, FBXL5, FN3KRP, GATM, GLRB, GNAI1, GPR39, HAX1, IDH3A, KIT, MAOB, MGST3, MKKS, MORF4L1, MRPL24, MTX2, NAPG, NDUFB1, NRIP3, PAFAH1B2, PEX11B, PEX19, PPM1E, PRPS1, PSMD10, PSMD4, PTER, RBX1, RFK, RNF13, RPA2, SCCPDH, SDHB, SECISBP2L, SEH1L, SH3GL3, SLC24A3, SLC44A1, SOX10, SPCS1, ST13, SUB1, TCEAL1, THOC7, TMEM126A, TMEM144, TMEM167A, TMEM9B, TTR, TTYH2, UBE2E1, UBE2N, UGT8, UHMK1, VAMP3, VAPA, WASL, ZC3H15",0.0837186564687233,0.000580830310862646,0.00929328497380233,0,0
infant_AMY,"infant - amygdaloid complex",44,"ACTA2, APBA1, ASTN1, ATP2B4, BAIAP3, BGN, CHPF, CPLX3, CPNE2, CPNE6, CTGF, DCLK2, DDR1, DUSP8, EIF4G1, EPN2, F3, FYN, G6PC3, GPC1, GPT2, ICAM5, ID4, IGFBP5, LRIG1, LRP1, MSN, MYH9, NKAIN4, NR2F1, PDGFRA, PITPNM1, SHANK1, SLC1A4, SLC24A3, SLC25A39, SLIT1, SMOC1, SOX10, TNFRSF21, TRIB2, TTR, WDR13, ZBTB47",0.111350776857263,0.00121152050773166,0.0161536067697554,0.001,0.0133333333333333
prenatal_CBC,"prenatal - cerebellar cortex",149,"ABLIM1, ALDH9A1, ANP32B, ARRDC3, ATP1B3, B3GALNT1, B4GALT5, BOD1, BTG1, BZW2, C2orf40, CA8, CALB1, CASC3, CASP3, CBLN1, CBX3, CDK4, CHD4, CNR1, COL1A2, COL4A2, COL6A1, COMMD6, COPZ1, CPNE2, CRKL, CSE1L, CXCR4, CXXC5, CYP26B1, DACH1, DCLK2, DDR1, DEK, DHX9, EBF1, EIF3H, ELN, FBLN1, FLNA, FOLR1, FYN, FZD7, G6PC3, GNAI3, GPR39, GRN, HADHA, HMGB1, HMGB2, HNRNPA1, HNRNPC, HNRNPD, HNRNPF, HP1BP3, HSPD1, ID4, IGFBP2, IGFBP5, IRF2BP2, ISLR2, KHSRP, KIAA0895L, KITLG, KPNA2, LAPTM4B, LCAT, LDB1, LITAF, LMAN2, LPCAT1, LRRN1, LRRN3, MAT2A, MCM7, MDFI, MSN, NACA, NEO1, NES, NETO2, NEUROD1, NFIB, NR2F1, NT5DC2, NUP93, PARM1, PARP1, PCBP4, PCDH17, PCNA, PDIA4, PDIA6, PDRG1, PHC2, PLXNB2, PRDM8, PSIP1, PTPRM, PUF60, QARS, RAMP2, RBBP4, RELN, RGMB, RPL6, SALL2, SEC61B, SEMA6A, SF3B3, SFRP1, SHF, SLC1A6, SLC25A39, SLN, SMOC1, SNRNP200, SNRPA, SNRPB, SOX9, SRSF4, SRSF6, SRSF7, SSTR2, ST13, SURF4, TARDBP, TBC1D14, TMEM98, TNC, TRH, TRIB2, TTR, TUSC3, UBE2E1, UBE2R2, UBTF, VPS25, VPS28, WLS, WNT7B, ZFP36L1, ZIC1, ZIC4, ZNF423, ZNF521, ZNF664, ZYX",0.0637964562378473,0.00217258430206091,0.0208301826849201,0.002,0.02
child_MD,"child - mediodorsal nucleus of thalamus",120,"ACSL3, ADAM23, ADORA1, AKAP12, ALDH4A1, AQP1, ASAH1, ASRGL1, ATP1B3, ATP6V0E1, ATPAF1, BOK, BST2, C12orf10, C2orf72, CAMK2D, CBLN2, CCDC136, CD74, CFL2, CIB1, CIT, CLDN11, COQ9, CPLX3, CPNE7, CPNE9, CRABP1, CREG1, CRH, CSDC2, CSTB, CTNNBIP1, CYB5A, DDR1, DEXI, DLGAP3, EDNRB, ELMO1, FKBP2, FNDC5, G6PC3, GADD45B, GBA2, HADHA, HADHB, HAPLN2, HAX1, HEBP2, HRH3, HSPD1, HYOU1, ID4, IDH3A, IFIT1, INPP5A, IPO13, ISOC2, ITPKB, KCNC2, LHPP, LRIG1, LRRC8A, MAOB, MAP7D2, MAT2A, MGST3, MORF4L1, MRPL24, MTX2, MXRA7, NDUFB1, NME7, NRIP3, NTNG1, NTSR2, PAIP2B, PCBD1, PDZD11, PITPNM1, PPIF, PRELID1, PTPN3, RAB4A, RASD2, RASL10B, RASL12, RGMA, RGS16, RND2, RNF181, SDC4, SDHB, SLC17A6, SLC24A3, SLC25A18, SLC25A39, SLC3A2, SNRNP25, SOX10, SPCS1, STX8, SYNDIG1L, TCF7L2, TMCC2, TMEM126A, TMEM141, TMEM184B, TMEM50B, TMEM9B, TNFRSF21, TRMT112, TRNP1, TUBA8, UROD, UROS, VAMP5, VPS25, WLS, ZDHHC22",0.0751684665239511,0.00224849167244168,0.0208301826849201,0.003,0.02
adult_STR,"adult - striatum",102,"ACTN2, ADCY5, ALAD, ALCAM, ANLN, ANO3, ANP32B, ARPP21, ATP6V0E1, ATP8A1, ATPAF1, BBS2, BGN, BOK, C20orf27, C2orf74, CALB1, CAPN3, CASC3, CCDC47, CD74, CERS2, CFL2, CLDN11, COCH, CORT, CPNE5, CPOX, CRABP1, CTNNA1, CYP46A1, DENND5A, DEXI, EVI2A, FA2H, FAM102A, GAD2, GNAL, GPR88, GPX3, GSN, HADHB, HAPLN2, HAX1, IGIP, IL17D, INF2, INPP5A, IPO13, ISCU, JAM3, KCNAB1, KCNIP2, KIAA0930, LHPP, LITAF, LRPAP1, MAOB, MAPK4, MAT2A, MPPE1, MXRA7, NIPAL3, NPC1, NTSR2, PAIP2B, PDE10A, PDE1B, PENK, PHGDH, PLEKHH1, PMEPA1, PPP1R1A, PPP1R7, PTPN5, RASD2, RGS14, RGS2, RGS9, RHOU, RNF13, SEC14L1, SECISBP2L, SLC31A2, SLC32A1, SLC44A1, SOX10, SRSF5, ST8SIA3, SYNDIG1L, TAC1, TESC, TMEM144, TMEM98, TOMM34, TTYH2, UGT8, VAMP3, WFS1, WNK1, ZDHHC9, ZNF664",0.114457963391525,0.00244691071908476,0.0208301826849201,0.002,0.02
child_OFC,"child - orbital frontal cortex",11,"CCNY, CFL2, CLDN11, ELOVL5, EVI2A, ID1, IFIT1, SERPINE2, SOX10, UGT8, VAMP3",0.15633973104516,0.00283900684813287,0.0208301826849201,0.003,0.02
