dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-0.05078871371242736	1.7060435946744859	1.7345728157459417	-8.328216467499876	1.791759469228055	4.69659955371071e-09	negative thymic T cell selection	1. negative thymic T cell selection	['GO:0045060', 'GO:0045061', 'GO:0045058', 'GO:0043368', 'GO:0045059']	GO:0045060	0
2	-0.6508609967021278	2.1566893928570057	1.6456819447655342	-8.142403328968879	1.9459101490553132	7.20438098067433e-09	folic acid transport	2. folic acid transport	['GO:0015884', 'GO:1904447', 'GO:0072337', 'GO:0034635', 'GO:0032218', 'GO:0051180']	GO:0015884	0
3	2.604160677691459	-2.737635985096029	1.3342727429381886	-7.834332482684309	1.9459101490553132	1.46442629134214e-08	negative regulation of adaptive imm...	3. negative regulation of adaptive imm...	['GO:0002820', 'GO:0002819', 'GO:0002822', 'GO:0002709', 'GO:0050855', 'GO:0050857']	GO:0002820	0
4	2.370140706360461	-2.2386263441388428	1.6212259452622961	-7.768240849373041	2.0794415416798357	1.70513649866422e-08	negative regulation of adaptive imm...	4. negative regulation of adaptive imm...	['GO:0002823', 'GO:0002710', 'GO:0002924', 'GO:0002713', 'GO:0002890', 'GO:0002826', 'GO:0002825']	GO:0002823	0
5	-1.9294972428873802	1.4992062244576885	1.326971523942114	-7.5521384662833295	2.1972245773362196	2.80453932299807e-08	nucleoside diphosphate biosynthetic...	5. nucleoside diphosphate biosynthetic...	['GO:0009133', 'GO:0009139', 'GO:0009186', 'GO:0009138', 'GO:0006172', 'GO:0009180', 'GO:0009188', 'GO:0009136']	GO:0009133	0
6	2.6552349004907314	-2.6851323472629405	1.6890313595111806	-6.719585801475598	2.5649493574615367	1.90727887483533e-07	positive regulation of leukocyte de...	6. positive regulation of leukocyte de...	['GO:0043302', 'GO:0043306', 'GO:0043300', 'GO:0043304', 'GO:0033684', 'GO:0032276', 'GO:0032277', 'GO:0044060', 'GO:0060907', 'GO:0010935', 'GO:0002718', 'GO:0002700']	GO:0043302	0
7	2.52121809765607	-2.0085939689789	1.639630584853187	-6.695408510782573	2.4849066497880004	2.01646871866856e-07	negative regulation of lymphocyte m...	7. negative regulation of lymphocyte m...	['GO:0002707', 'GO:0002704', 'GO:0002698', 'GO:0002703', 'GO:0002706', 'GO:0002705', 'GO:0002699', 'GO:0002230', 'GO:0002719', 'GO:0002701', 'GO:0002638']	GO:0002707	0
8	1.04435163685594	-4.368753841628898	1.6736296020951131	-6.6448643245372265	2.8903717578961645	2.26535190273047e-07	negative regulation of alpha-beta T...	8. negative regulation of alpha-beta T...	['GO:0046639', 'GO:0043371', 'GO:2000320', 'GO:0045581', 'GO:0045620', 'GO:2000515', 'GO:0046636', 'GO:0045623', 'GO:0043380', 'GO:0045580', 'GO:0045577', 'GO:0050864', 'GO:0046533', 'GO:0046532', 'GO:2000773', 'GO:0090344', 'GO:0032872']	GO:0046639	0
9	-1.1267914630975702	1.1048504544268263	1.725337515058391	-6.606753077814437	0.6931471805599453	2.47312986645376e-07	Notch receptor processing	9. Notch receptor processing	['GO:0007220']	GO:0007220	0
10	2.071854194580277	2.7573328026703376	1.7034249477199228	-6.5006322363663775	1.9459101490553132	3.15767743508388e-07	adult heart development	10. adult heart development	['GO:0007512', 'GO:0051216', 'GO:0030903', 'GO:0048566', 'GO:0001892', 'GO:0043583']	GO:0007512	0
11	1.8358317177001802	2.761313025088331	1.7510318618242997	-6.4991911161566085	0.6931471805599453	3.16817296619476e-07	diencephalon development	11. diencephalon development	['GO:0021536']	GO:0021536	0
12	-0.427107664194394	-1.5414013101609985	2.010133341374926	-6.489498232588595	1.791759469228055	3.2396774085619e-07	modulation of apoptotic process in ...	12. modulation of apoptotic process in ...	['GO:0044532', 'GO:0051709', 'GO:0052150', 'GO:0031341', 'GO:0052040']	GO:0044532	0
13	-0.19480835702543228	1.1042299174830672	1.7263146613876417	-6.453067769128931	1.791759469228055	3.52315889906585e-07	T-tubule organization	13. T-tubule organization	['GO:0033292', 'GO:0044803', 'GO:0019064', 'GO:0039663', 'GO:0001778']	GO:0033292	0
14	-1.0227298992780791	0.7192041809088577	1.687145814109477	-6.4357939737378	2.4849066497880004	3.66611451307897e-07	aflatoxin metabolic process	14. aflatoxin metabolic process	['GO:0046222', 'GO:1901376', 'GO:0043385', 'GO:0009404', 'GO:0019748', 'GO:0044550', 'GO:0030638', 'GO:0044597', 'GO:0030647', 'GO:0044598', 'GO:0016137']	GO:0046222	0
15	-1.3630484271808498	-2.0878731929334955	1.9226081095808487	-6.43147118084267	2.0794415416798357	3.7027877575202e-07	regulation of systemic arterial blo...	15. regulation of systemic arterial blo...	['GO:0001991', 'GO:0003081', 'GO:0050886', 'GO:0003044', 'GO:0001990', 'GO:0003073', 'GO:0008217']	GO:0001991	0
16	-2.193014640790507	1.6414780781506195	1.0134055477567117	-6.332394279245496	1.791759469228055	4.65163597640483e-07	nucleoside monophosphate phosphoryl...	16. nucleoside monophosphate phosphoryl...	['GO:0046940', 'GO:0009173', 'GO:0006221', 'GO:0046049', 'GO:0009218']	GO:0046940	0
17	0.6897186230229353	-3.396756865999419	1.8060102153054578	-6.3183011413570815	1.9459101490553132	4.80506048283758e-07	positive regulation of interleukin-...	17. positive regulation of interleukin-...	['GO:0032730', 'GO:0032650', 'GO:0032652', 'GO:0032732', 'GO:0032667', 'GO:0032673']	GO:0032730	0
18	-0.44812011109788014	0.6700619594416987	1.7443531202349283	-6.264855523308793	2.3978952727983707	5.4343108457644e-07	B cell apoptotic process	18. B cell apoptotic process	['GO:0001783', 'GO:0070227', 'GO:0071887', 'GO:0070231', 'GO:0097048', 'GO:0060561', 'GO:0070242', 'GO:0048102', 'GO:0072577', 'GO:0070268']	GO:0001783	0
19	-0.03216027374386301	-3.2322486665902135	1.8193965377393762	-6.227223949072437	2.0794415416798357	5.92619654460336e-07	negative regulation of interferon-a...	19. negative regulation of interferon-a...	['GO:0032687', 'GO:0032647', 'GO:0032727', 'GO:0032480', 'GO:0032479', 'GO:0032728', 'GO:0032648']	GO:0032687	0
20	-0.2546657890316747	1.4101945488804677	1.504567596571211	-6.224180273643627	1.3862943611198906	5.96787511408792e-07	water transport	20. water transport	['GO:0006833', 'GO:0042044', 'GO:0042045']	GO:0006833	0
21	-1.7996180300334776	1.8670787802125965	1.682160801378931	-6.195239581455381	1.9459101490553132	6.37911480971809e-07	dopamine biosynthetic process	21. dopamine biosynthetic process	['GO:0042416', 'GO:0042417', 'GO:0042423', 'GO:0006584', 'GO:0042420', 'GO:0042424']	GO:0042416	0
22	-0.3142798567191026	-1.7232498591586043	1.5466242566023987	-6.183019163411131	1.9459101490553132	6.56116314279309e-07	neurotransmitter metabolic process	22. neurotransmitter metabolic process	['GO:0042133', 'GO:0042135', 'GO:0042136', 'GO:0045454', 'GO:0055076', 'GO:0031649']	GO:0042133	0
23	0.742930909651284	-2.236588018021756	1.656515867262088	-6.143611040914284	1.9459101490553132	7.18437443980591e-07	negative regulation of cell killing	23. negative regulation of cell killing	['GO:0031342', 'GO:0051711', 'GO:0001915', 'GO:0001911', 'GO:0045953', 'GO:0002716']	GO:0031342	0
24	-0.3822083451631207	1.6916364958546946	1.7599546363480352	-6.111121102479576	1.3862943611198906	7.74245870194257e-07	carbon dioxide transport	24. carbon dioxide transport	['GO:0015670', 'GO:0019755', 'GO:0015669']	GO:0015670	0
25	-2.0123143660386877	1.83167379946172	1.5250573334505801	-6.085965879053889	2.70805020110221	8.2041599891447e-07	purine ribonucleoside catabolic pro...	25. purine ribonucleoside catabolic pro...	['GO:0046130', 'GO:0006152', 'GO:0072523', 'GO:0042454', 'GO:0009164', 'GO:1901658', 'GO:0046121', 'GO:0009120', 'GO:0046125', 'GO:0046104', 'GO:0046085', 'GO:0009119', 'GO:0009116', 'GO:1901657']	GO:0046130	0
26	2.8173179969672755	2.2251699098594675	1.8070124211184877	-6.056398460429277	2.0794415416798357	8.782163931631e-07	gamma-delta T cell differentiation	26. gamma-delta T cell differentiation	['GO:0042492', 'GO:0046629', 'GO:0046632', 'GO:0046631', 'GO:0043367', 'GO:0051132', 'GO:0097028']	GO:0042492	0
27	-1.8892355454494854	1.9405589351635613	1.3670540892635732	-6.034845341380399	1.791759469228055	9.22900026845141e-07	catechol-containing compound biosyn...	27. catechol-containing compound biosyn...	['GO:0009713', 'GO:0046189', 'GO:0009712', 'GO:0019614', 'GO:0019336']	GO:0009713	0
28	2.0856909936297816	-2.3166229151881352	1.6969237431601276	-6.007487086883184	1.791759469228055	9.82908097912905e-07	positive regulation of defense resp...	28. positive regulation of defense resp...	['GO:1900426', 'GO:1900424', 'GO:0002833', 'GO:0050729', 'GO:0050728']	GO:1900426	0
29	1.8152452524140916	2.4455046473731126	1.7343019577005752	-5.99791993564637	2.3978952727983707	1.00480101328237e-06	limb bud formation	29. limb bud formation	['GO:0060174', 'GO:0010927', 'GO:0000768', 'GO:0007520', 'GO:0003211', 'GO:0003207', 'GO:0001946', 'GO:0060592', 'GO:0010842', 'GO:0072675']	GO:0060174	0
30	-1.507551228809164	1.0036200862958633	1.3066967730581986	-5.988012143718628	0.6931471805599453	1.02798755319267e-06	allantoin metabolic process	30. allantoin metabolic process	['GO:0000255']	GO:0000255	0
31	-2.500346815545741	-0.18037883858665232	1.621075927834767	-5.987466801723311	2.995732273553991	1.02927920420104e-06	T cell activation involved in immun...	31. T cell activation involved in immun...	['GO:0002286', 'GO:0002292', 'GO:0002291', 'GO:0002285', 'GO:0035733', 'GO:0042093', 'GO:0002293', 'GO:0002287', 'GO:0035710', 'GO:0045066', 'GO:0030217', 'GO:0048143', 'GO:0033077', 'GO:0030101', 'GO:0002323', 'GO:0043320', 'GO:0001787', 'GO:0002313', 'GO:0002335']	GO:0002286	0
