Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0045060	GO:0045060	negative thymic T cell selection	4.697e-09	0.000e+00	5.667e+00	2.155e-06
GO:0045060	GO:0045061	thymic T cell selection	3.857e-07	0.000e+00	5.291e+00	5.112e-06
GO:0045060	GO:0045058	T cell selection	7.617e-07	0.000e+00	5.162e+00	6.881e-06
GO:0045060	GO:0043368	positive T cell selection	2.128e-04	0.000e+00	5.576e+00	2.655e-06
GO:0045060	GO:0045059	positive thymic T cell selection	6.083e-05	0.000e+00	5.682e+00	2.079e-06
GO:0015884	GO:0015884	folic acid transport	7.204e-09	0.000e+00	5.185e+00	6.538e-06
GO:0015884	GO:1904447	folate import across plasma membrane	3.056e-08	0.000e+00	5.496e+00	3.193e-06
GO:0015884	GO:0072337	modified amino acid transport	2.109e-05	0.000e+00	3.710e+00	1.949e-04
GO:0015884	GO:0034635	glutathione transport	5.414e-05	0.000e+00	4.349e+00	4.480e-05
GO:0015884	GO:0032218	riboflavin transport	1.324e-04	0.000e+00	4.522e+00	3.003e-05
GO:0015884	GO:0051180	vitamin transport	3.323e-04	0.000e+00	3.326e+00	4.725e-04
GO:0002820	GO:0002820	negative regulation of adaptive immune response	1.464e-08	0.000e+00	3.797e+00	1.595e-04
GO:0002820	GO:0002819	regulation of adaptive immune response	6.418e-04	0.000e+00	3.717e+00	1.919e-04
GO:0002820	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	1.985e-03	0.000e+00	4.429e+00	3.721e-05
GO:0002820	GO:0002709	regulation of T cell mediated immunity	5.314e-03	0.000e+00	4.803e+00	1.575e-05
GO:0002820	GO:0050855	regulation of B cell receptor signaling pathway	4.282e-03	0.000e+00	5.286e+00	5.173e-06
GO:0002820	GO:0050857	positive regulation of antigen receptor-mediated signaling pathway	9.479e-03	0.000e+00	5.217e+00	6.065e-06
GO:0002823	GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	1.705e-08	0.000e+00	5.059e+00	8.724e-06
GO:0002823	GO:0002710	negative regulation of T cell mediated immunity	1.384e-07	0.000e+00	5.433e+00	3.692e-06
GO:0002823	GO:0002924	negative regulation of humoral immune response mediated by circulating immunoglobulin	3.601e-03	0.000e+00	6.094e+00	8.049e-07
GO:0002823	GO:0002713	negative regulation of B cell mediated immunity	7.703e-03	0.000e+00	5.729e+00	1.865e-06
GO:0002823	GO:0002890	negative regulation of immunoglobulin mediated immune response	7.703e-03	0.000e+00	5.729e+00	1.865e-06
GO:0002823	GO:0002826	negative regulation of T-helper 1 type immune response	2.048e-07	0.000e+00	6.291e+00	5.112e-07
GO:0002823	GO:0002825	regulation of T-helper 1 type immune response	3.232e-04	0.000e+00	5.303e+00	4.974e-06
GO:0009133	GO:0009133	nucleoside diphosphate biosynthetic process	2.805e-08	0.000e+00	3.770e+00	1.700e-04
GO:0009133	GO:0009139	pyrimidine nucleoside diphosphate biosynthetic process	4.202e-05	0.000e+00	3.825e+00	1.495e-04
GO:0009133	GO:0009186	deoxyribonucleoside diphosphate metabolic process	4.331e-05	0.000e+00	3.826e+00	1.492e-04
GO:0009133	GO:0009138	pyrimidine nucleoside diphosphate metabolic process	9.158e-03	0.000e+00	3.821e+00	1.509e-04
GO:0009133	GO:0006172	ADP biosynthetic process	3.123e-07	0.000e+00	4.715e+00	1.929e-05
GO:0009133	GO:0009180	purine ribonucleoside diphosphate biosynthetic process	3.123e-07	0.000e+00	4.697e+00	2.009e-05
GO:0009133	GO:0009188	ribonucleoside diphosphate biosynthetic process	1.896e-07	0.000e+00	4.654e+00	2.220e-05
GO:0009133	GO:0009136	purine nucleoside diphosphate biosynthetic process	5.484e-06	0.000e+00	4.693e+00	2.026e-05
GO:0043302	GO:0043302	positive regulation of leukocyte degranulation	1.907e-07	0.000e+00	5.414e+00	3.853e-06
GO:0043302	GO:0043306	positive regulation of mast cell degranulation	1.857e-05	0.000e+00	5.615e+00	2.426e-06
GO:0043302	GO:0043300	regulation of leukocyte degranulation	1.217e-06	0.000e+00	5.163e+00	6.874e-06
GO:0043302	GO:0043304	regulation of mast cell degranulation	2.093e-04	0.000e+00	5.337e+00	4.604e-06
GO:0043302	GO:0033684	regulation of luteinizing hormone secretion	2.629e-04	0.000e+00	6.234e+00	5.836e-07
GO:0043302	GO:0032276	regulation of gonadotropin secretion	2.565e-03	0.000e+00	5.655e+00	2.212e-06
GO:0043302	GO:0032277	negative regulation of gonadotropin secretion	1.202e-03	0.000e+00	6.066e+00	8.583e-07
GO:0043302	GO:0044060	regulation of endocrine process	4.571e-03	0.000e+00	5.083e+00	8.259e-06
GO:0043302	GO:0060907	positive regulation of macrophage cytokine production	1.733e-03	0.000e+00	5.873e+00	1.339e-06
GO:0043302	GO:0010935	regulation of macrophage cytokine production	9.834e-04	0.000e+00	5.508e+00	3.101e-06
GO:0043302	GO:0002718	regulation of cytokine production involved in immune response	1.374e-03	0.000e+00	4.705e+00	1.970e-05
GO:0043302	GO:0002700	regulation of production of molecular mediator of immune response	4.150e-03	0.000e+00	4.422e+00	3.783e-05
GO:0002707	GO:0002707	negative regulation of lymphocyte mediated immunity	2.016e-07	0.000e+00	5.153e+00	7.026e-06
GO:0002707	GO:0002704	negative regulation of leukocyte mediated immunity	3.577e-07	0.000e+00	5.079e+00	8.335e-06
GO:0002707	GO:0002698	negative regulation of immune effector process	5.788e-05	0.000e+00	4.483e+00	3.285e-05
GO:0002707	GO:0002703	regulation of leukocyte mediated immunity	1.780e-04	0.000e+00	4.316e+00	4.827e-05
GO:0002707	GO:0002706	regulation of lymphocyte mediated immunity	3.029e-03	0.000e+00	4.411e+00	3.884e-05
GO:0002707	GO:0002705	positive regulation of leukocyte mediated immunity	1.730e-03	0.000e+00	4.538e+00	2.894e-05
GO:0002707	GO:0002699	positive regulation of immune effector process	4.339e-03	0.000e+00	4.285e+00	5.186e-05
GO:0002707	GO:0002230	positive regulation of defense response to virus by host	1.444e-02	0.000e+00	5.171e+00	6.752e-06
GO:0002707	GO:0002719	negative regulation of cytokine production involved in immune response	1.117e-06	0.000e+00	5.315e+00	4.837e-06
GO:0002707	GO:0002701	negative regulation of production of molecular mediator of immune response	8.116e-06	0.000e+00	5.145e+00	7.156e-06
GO:0002707	GO:0002638	negative regulation of immunoglobulin production	6.099e-03	0.000e+00	5.824e+00	1.499e-06
GO:0046639	GO:0046639	negative regulation of alpha-beta T cell differentiation	2.265e-07	0.000e+00	5.331e+00	4.661e-06
GO:0046639	GO:0043371	negative regulation of CD4-positive, alpha-beta T cell differentiation	4.265e-06	0.000e+00	5.428e+00	3.734e-06
GO:0046639	GO:2000320	negative regulation of T-helper 17 cell differentiation	2.307e-03	0.000e+00	5.725e+00	1.884e-06
GO:0046639	GO:0045581	negative regulation of T cell differentiation	9.751e-06	0.000e+00	5.047e+00	8.968e-06
GO:0046639	GO:0045620	negative regulation of lymphocyte differentiation	3.174e-05	0.000e+00	4.984e+00	1.037e-05
GO:0046639	GO:2000515	negative regulation of CD4-positive, alpha-beta T cell activation	7.343e-06	0.000e+00	5.285e+00	5.184e-06
GO:0046639	GO:0046636	negative regulation of alpha-beta T cell activation	5.454e-06	0.000e+00	5.124e+00	7.515e-06
GO:0046639	GO:0045623	negative regulation of T-helper cell differentiation	2.045e-05	0.000e+00	5.469e+00	3.395e-06
GO:0046639	GO:0043380	regulation of memory T cell differentiation	9.439e-05	0.000e+00	6.040e+00	9.117e-07
GO:0046639	GO:0045580	regulation of T cell differentiation	5.992e-04	0.000e+00	4.459e+00	3.477e-05
GO:0046639	GO:0045577	regulation of B cell differentiation	3.844e-04	0.000e+00	5.229e+00	5.901e-06
GO:0046639	GO:0050864	regulation of B cell activation	7.027e-03	0.000e+00	4.456e+00	3.501e-05
GO:0046639	GO:0046533	negative regulation of photoreceptor cell differentiation	2.877e-03	0.000e+00	5.708e+00	1.961e-06
GO:0046639	GO:0046532	regulation of photoreceptor cell differentiation	3.143e-03	0.000e+00	5.267e+00	5.401e-06
GO:0046639	GO:2000773	negative regulation of cellular senescence	4.955e-03	0.000e+00	5.506e+00	3.120e-06
GO:0046639	GO:0090344	negative regulation of cell aging	3.350e-03	0.000e+00	5.353e+00	4.436e-06
GO:0046639	GO:0032872	regulation of stress-activated MAPK cascade	1.168e-02	0.000e+00	4.230e+00	5.892e-05
